date,value
2011-07-18,13113.1259765625
2011-07-19,13331.5966796875
2011-07-20,13550.0673828125
2011-07-21,13283.046875
2011-07-22,13622.8916015625
2011-07-25,13855.927734375
2011-07-26,14074.3984375
2011-07-27,14084.109375
2011-07-28,14234.609375
2011-07-29,14341.4189453125
2011-08-01,14385.1142578125
2011-08-02,14224.8994140625
2011-08-03,14224.8994140625
2011-08-04,14108.3837890625
2011-08-05,13433.55078125
2011-08-08,12807.265625
2011-08-09,12190.69140625
2011-08-10,12549.955078125
2011-08-11,12846.10546875
2011-08-12,13142.2529296875
2011-08-16,13059.72265625
2011-08-17,13088.8486328125
2011-08-18,13074.287109375
2011-08-19,12448.00390625
2011-08-22,12622.78125
2011-08-23,12948.0576171875
2011-08-24,12671.328125
2011-08-25,12511.115234375
2011-08-26,12540.2451171875
2011-08-29,12564.521484375
2011-08-30,12739.2958984375
2011-08-31,12943.2041015625
2011-09-01,12593.650390625
2011-09-02,12705.3134765625
2011-09-05,12365.4697265625
2011-09-06,12108.158203125
2011-09-07,12307.2099609375
2011-09-08,12224.6767578125
2011-09-09,12103.3046875
2011-09-14,11894.5419921875
2011-09-15,11875.123046875
2011-09-16,12258.66015625
2011-09-19,12258.66015625
2011-09-20,12273.2236328125
2011-09-21,12462.568359375
2011-09-22,12705.3134765625
2011-09-23,11981.9306640625
2011-09-26,11739.185546875
2011-09-27,12069.3193359375
2011-09-28,12214.96484375
2011-09-29,12079.029296875
2011-09-30,12496.5517578125
2011-10-04,12258.66015625
2011-10-05,12278.080078125
2011-10-06,12380.033203125
2011-10-07,12821.8330078125
2011-10-10,13050.0107421875
2011-10-11,13385.0009765625
2011-10-12,13375.291015625
2011-10-13,13516.0830078125
2011-10-14,13501.51953125
2011-10-17,14030.7041015625
2011-10-18,13880.203125
2011-10-19,13482.099609375
2011-10-20,13011.1728515625
2011-10-21,12753.861328125
2011-10-24,13069.4306640625
2011-10-25,13147.1103515625
2011-10-26,13151.9658203125
2011-10-27,12938.3486328125
2011-10-28,12812.12109375
2011-10-31,13025.736328125
2011-11-01,12826.6845703125
2011-11-02,12807.265625
2011-11-03,12826.6845703125
2011-11-04,13025.736328125
2011-11-07,12977.1884765625
2011-11-08,13054.8662109375
2011-11-09,13069.4306640625
2011-11-10,12530.53515625
2011-11-11,12685.892578125
2011-11-14,12661.619140625
2011-11-15,12768.4267578125
2011-11-16,12433.4375
2011-11-17,12617.923828125
2011-11-18,12486.841796875
2011-11-21,12515.9716796875
2011-11-22,12326.630859375
2011-11-23,12069.3193359375
2011-11-24,11792.5888671875
2011-11-25,11651.7958984375
2011-11-28,12079.029296875
2011-11-29,12137.287109375
2011-11-30,12491.6953125
2011-12-01,12802.412109375
2011-12-02,12865.5244140625
2011-12-05,13025.736328125
2011-12-06,13020.880859375
2011-12-07,12846.10546875
2011-12-08,12914.0751953125
2011-12-09,12739.2958984375
2011-12-12,12773.2802734375
2011-12-13,12986.8994140625
2011-12-14,12957.7685546875
2011-12-15,12671.328125
2011-12-16,12661.619140625
2011-12-19,12132.4345703125
2011-12-20,12321.771484375
2011-12-21,12574.23046875
2011-12-22,12637.3447265625
2011-12-23,12802.412109375
2011-12-26,12846.10546875
2011-12-27,12535.390625
2011-12-28,12622.78125
2011-12-29,12671.328125
2012-01-02,12782.9921875
2012-01-03,12875.236328125
2012-01-04,12865.5244140625
2012-01-05,12787.845703125
2012-01-06,12715.021484375
2012-01-09,13171.38671875
2012-01-10,13244.2080078125
2012-01-11,13224.7880859375
2012-01-12,13156.818359375
2012-01-13,13409.2763671875
2012-01-16,13385.0009765625
2012-01-17,13423.8408203125
2012-01-18,13457.82421875
2012-01-19,13346.1630859375
2012-01-20,12991.75390625
2012-01-25,12991.75390625
2012-01-26,13083.9970703125
2012-01-27,12967.4775390625
2012-01-30,12690.748046875
2012-01-31,12739.2958984375
2012-02-01,12719.8779296875
2012-02-02,12797.5556640625
2012-02-03,12593.650390625
2012-02-06,12394.6005859375
2012-02-07,12346.0498046875
2012-02-08,12326.630859375
2012-02-09,12151.853515625
2012-02-10,12190.69140625
2012-02-13,12142.1435546875
2012-02-14,12088.73828125
2012-02-15,12054.7548828125
2012-02-16,12054.7548828125
