date,value
2022-11-15,10135.1591796875
2022-11-16,10086.6650390625
2022-11-17,10057.5693359375
2022-11-18,10135.1591796875
2022-11-21,10081.8173828125
2022-11-22,10159.40625
2022-11-23,10217.59765625
2022-11-24,10280.6396484375
2022-11-25,10178.802734375
2022-11-28,10052.720703125
2022-11-29,10101.212890625
2022-11-30,10198.201171875
2022-12-01,10193.3515625
2022-12-02,10076.9677734375
2022-12-05,10052.720703125
2022-12-06,9829.650390625
2022-12-07,9713.2646484375
2022-12-08,9689.0185546875
2022-12-09,9737.51171875
2022-12-12,9655.072265625
2022-12-13,9655.072265625
2022-12-14,9786.005859375
2022-12-15,9718.115234375
2022-12-16,9616.27734375
2022-12-19,9606.580078125
2022-12-20,9548.3876953125
2022-12-21,9499.892578125
2022-12-22,9601.73046875
2022-12-23,9451.400390625
2022-12-26,9422.3046875
2022-12-27,9519.291015625
2022-12-28,9504.7421875
2022-12-29,9315.6171875
2023-01-02,9136.19140625
2023-01-03,9456.2490234375
2023-01-04,9684.16796875
2023-01-05,9664.771484375
2023-01-06,9800.5537109375
2023-01-09,10164.2548828125
2023-01-10,10280.6396484375
2023-01-11,10319.435546875
2023-01-12,10198.201171875
2023-01-13,10392.17578125
2023-01-16,10392.17578125
2023-01-17,10498.861328125
2023-01-18,10571.6015625
2023-01-19,10697.6845703125
2023-01-20,10862.5634765625
2023-01-25,11323.2509765625
2023-01-26,11124.427734375
2023-01-27,11328.1015625
2023-01-30,11187.4697265625
2023-01-31,11294.1572265625
2023-02-01,11313.5537109375
2023-02-02,11444.486328125
2023-02-03,11381.4443359375
2023-02-06,11202.0185546875
2023-02-07,11211.7158203125
2023-02-08,11434.7880859375
2023-02-09,11362.046875
2023-02-10,11303.8544921875
2023-02-13,11386.2939453125
2023-02-14,11478.431640625
2023-02-15,11197.1689453125
2023-02-16,11328.1015625
2023-02-17,11245.6611328125
2023-02-20,11328.1015625
2023-02-21,11332.951171875
2023-02-22,11279.6083984375
2023-02-23,11551.1728515625
2023-02-24,11429.9375
2023-02-27,11846.982421875
2023-02-28,11822.736328125
2023-03-02,11730.59765625
2023-03-03,11730.59765625
2023-03-06,11987.6142578125
2023-03-07,11890.626953125
2023-03-08,11783.9404296875
2023-03-09,11851.8330078125
2023-03-10,11774.2412109375
2023-03-13,11779.091796875
2023-03-14,11323.2509765625
2023-03-15,11793.640625
2023-03-16,12157.341796875
2023-03-17,12511.345703125
2023-03-20,12438.6044921875
2023-03-21,12579.236328125
2023-03-22,12792.6083984375
2023-03-23,12831.40234375
2023-03-24,12865.3486328125
2023-03-27,12996.2802734375
2023-03-28,12913.841796875
2023-03-29,12879.896484375
2023-03-30,13180.5556640625
2023-03-31,12816.8544921875
2023-04-03,12782.91015625
2023-04-04,12719.8671875
2023-04-05,12821.705078125
2023-04-06,12521.0439453125
2023-04-07,12588.93359375
2023-04-10,12472.5498046875
2023-04-11,12744.1123046875
2023-04-12,12758.662109375
2023-04-13,12739.265625
2023-04-14,12666.5244140625
2023-04-17,12681.0712890625
2023-04-18,12516.1953125
2023-04-19,12491.947265625
2023-04-20,12249.4794921875
2023-04-21,12196.1357421875
2023-04-24,12142.7939453125
2023-04-25,12079.7529296875
2023-04-26,12021.5595703125
2023-04-27,12114.4482421875
2023-04-28,12016.671875
2023-05-02,12202.4453125
2023-05-03,12124.224609375
2023-05-04,12187.779296875
2023-05-08,12402.88671875
2023-05-09,12505.55078125
2023-05-10,12481.107421875
2023-05-11,12593.5498046875
2023-05-12,12544.6611328125
2023-05-15,12397.998046875
2023-05-16,12212.2236328125
2023-05-17,12314.8876953125
2023-05-19,12661.9921875
2023-05-22,12710.8818359375
2023-05-23,12735.3251953125
2023-05-25,12681.5478515625
2023-05-26,12637.548828125
2023-05-30,12925.9892578125
2023-05-31,12872.2119140625
2023-06-01,12808.6572265625
2023-06-02,12945.54296875
2023-06-05,13004.208984375
2023-06-07,12965.0986328125
2023-06-08,12999.3203125
2023-06-09,13077.5400390625
2023-06-12,12911.3212890625
2023-06-13,12930.876953125
2023-06-14,12847.765625
2023-06-15,12813.5458984375
2023-06-16,12847.765625
2023-06-19,12921.0986328125
2023-06-20,12862.43359375
2023-06-21,12730.435546875
2023-06-22,12769.5458984375
2023-06-23,12676.6591796875
2023-06-26,12647.3271484375
2023-06-27,12701.1025390625
2023-06-28,12745.1025390625
2023-06-29,12671.7705078125
2023-06-30,12749.9912109375
2023-07-07,12466.4404296875
2023-07-10,12349.109375
2023-07-14,12833.1015625
2023-07-17,12999.3203125
2023-07-19,12901.5439453125
2023-07-20,12974.8759765625
2023-07-21,12955.3203125
2023-07-24,12896.6552734375
2023-07-26,12339.3330078125
2023-07-28,12798.87890625
2023-08-03,13077.5400390625
2023-08-04,13493.0888671875
2023-08-07,13771.75
2023-08-08,13717.9736328125
2023-08-09,13766.861328125
2023-08-10,13512.642578125
2023-08-11,13688.6416015625
2023-08-14,13786.41796875
2023-08-16,13346.4248046875
2023-08-17,13307.3154296875
2023-08-18,13150.873046875
2023-08-21,13111.7626953125
2023-08-22,13057.986328125
2023-08-23,12999.3203125
2023-08-24,13468.64453125
2023-08-25,13145.984375
2023-08-28,13395.3125
2023-08-29,13507.7548828125
2023-08-30,13722.86328125
2023-08-31,14211.7431640625
2023-09-01,14255.7412109375
2023-09-04,14358.4072265625
2023-09-05,14661.51171875
2023-09-06,14710.3994140625
2023-09-07,15047.728515625
2023-09-08,15248.16796875
2023-09-11,15365.5
2023-09-12,14764.177734375
2023-09-13,14461.0712890625
2023-09-14,14837.5087890625
2023-09-15,14695.7333984375
2023-09-18,14407.294921875
2023-09-19,14143.2998046875
2023-09-20,14162.8544921875
2023-09-21,13766.861328125
2023-09-22,13933.0810546875
2023-09-25,13840.1943359375
2023-09-26,13639.7529296875
2023-09-27,13947.748046875
2023-10-04,13527.310546875
2023-10-05,12960.2099609375
2023-10-06,13009.0966796875
2023-10-10,12789.1015625
2023-10-11,12925.9892578125
2023-10-12,13214.427734375
2023-10-13,13092.2080078125
2023-10-16,12818.4345703125
2023-10-17,13033.541015625
2023-10-18,13018.8759765625
2023-10-19,12573.994140625
2023-10-20,12295.33203125
2023-10-23,12217.111328125
2023-10-24,12461.552734375
2023-10-25,12383.3310546875
2023-10-26,12055.78125
2023-10-27,12055.78125
2023-10-30,12300.2216796875
2023-10-31,12104.6689453125
2023-11-01,12319.7763671875
2023-11-02,12617.994140625
2023-11-03,12950.4326171875
2023-11-06,13458.8671875
2023-11-07,13253.5380859375
2023-11-08,13199.7607421875
2023-11-09,13180.205078125
2023-11-10,12925.9892578125
2023-11-13,12789.1015625
2023-11-14,12960.2099609375
2023-11-15,13493.0888671875
2023-11-16,13615.3095703125
2023-11-17,13405.0908203125
2023-11-20,13649.5302734375
2023-11-21,13693.5302734375
2023-11-22,13771.75
2023-11-23,13717.9736328125
2023-11-24,13947.748046875
2023-11-27,14055.30078125
2023-11-28,14505.0712890625
2023-11-29,14461.0712890625
2023-11-30,14690.845703125
2023-12-01,14431.73828125
2023-12-04,14123.744140625
2023-12-05,14011.3017578125
2023-12-06,14172.6318359375
2023-12-07,13874.4150390625
2023-12-08,14162.8544921875
2023-12-11,14412.18359375
2023-12-12,14417.072265625
2023-12-13,14299.740234375
2023-12-14,14519.736328125
2023-12-15,14720.177734375
2023-12-18,14896.173828125
2023-12-19,14808.1767578125
2023-12-20,15077.060546875
2023-12-21,15106.392578125
2023-12-22,15013.505859375
2023-12-26,14925.5078125
2023-12-27,15194.3916015625
2023-12-28,15429.0546875
2024-01-02,15433.9423828125
2024-01-03,15057.5048828125
2024-01-04,14945.0625
2024-01-05,14989.0615234375
2024-01-08,15111.2822265625
2024-01-09,15042.837890625
2024-01-10,15223.724609375
2024-01-11,15091.7255859375
2024-01-12,15204.1689453125
2024-01-15,15238.390625
2024-01-16,15077.060546875
2024-01-17,14656.623046875
2024-01-19,14769.0654296875
2024-01-22,14842.3974609375
2024-01-23,14710.3994140625
2024-01-24,14558.84765625
2024-01-25,14275.296875
2024-01-26,14309.5185546875
2024-01-29,13977.080078125
2024-01-30,13771.75
2024-01-31,13473.5341796875
2024-02-01,13791.3056640625
2024-02-02,14128.6328125
2024-02-05,14084.6328125
2024-02-06,14011.3017578125
2024-02-07,14016.189453125
2024-02-08,14187.2998046875
2024-02-13,14456.181640625
2024-02-14,14490.4033203125
2024-02-15,14514.8486328125
2024-02-16,14539.2919921875
2024-02-19,14607.7353515625
2024-02-20,14568.6259765625
2024-02-21,14407.294921875
2024-02-22,14637.068359375
2024-02-23,14568.6259765625
2024-02-26,14436.6279296875
2024-02-27,14201.9638671875
2024-02-28,14236.1865234375
2024-02-29,14128.6328125
2024-03-04,14319.296875
2024-03-05,14197.076171875
2024-03-06,14182.4091796875
2024-03-07,14118.85546875
2024-03-08,14358.4072265625
2024-03-11,14417.072265625
2024-03-12,14392.626953125
2024-03-13,14568.6259765625
2024-03-14,14617.5126953125
2024-03-15,14529.5146484375
2024-03-18,14637.068359375
2024-03-19,14593.0693359375
2024-03-20,14641.95703125
2024-03-21,14886.3974609375
2024-03-22,14876.619140625
2024-03-25,14700.623046875
2024-03-26,14773.9541015625
2024-03-27,14803.2861328125
2024-03-28,14769.0654296875
2024-03-29,14852.1748046875
2024-04-01,14861.9541015625
2024-04-02,14544.1806640625
2024-04-03,14363.294921875
2024-04-04,14500.181640625
2024-04-05,14294.8515625
2024-04-08,14260.630859375
2024-04-09,14162.8544921875
2024-04-11,14177.5205078125
2024-04-12,14172.6318359375
2024-04-15,13859.748046875
2024-04-16,13453.978515625
2024-04-17,13439.3125
2024-04-18,13678.86328125
2024-04-19,13405.0908203125
2024-04-22,13605.5302734375
2024-04-23,13605.5302734375
2024-04-24,13884.193359375
2024-04-25,13688.6416015625
2024-04-26,13771.75
2024-04-29,13939.517578125
2024-04-30,13939.517578125
2024-05-02,13914.8466796875
2024-05-03,13983.927734375
2024-05-07,14166.498046875
2024-05-08,14092.4833984375
2024-05-09,13914.8466796875
2024-05-10,14003.6640625
2024-05-13,13914.8466796875
2024-05-14,13988.8603515625
2024-05-16,14072.7451171875
2024-05-17,13934.5830078125
2024-05-20,13944.4521484375
2024-05-21,13919.7802734375
2024-05-22,14087.5478515625
2024-05-23,14053.0068359375
2024-05-24,13845.7646484375
2024-05-27,13998.73046875
2024-05-28,14161.5625
2024-05-29,13924.71484375
2024-05-30,13697.7353515625
2024-05-31,13613.8505859375
2024-06-03,13801.35546875
2024-06-04,13722.40625
2024-06-05,13796.4228515625
2024-06-07,13895.1083984375
2024-06-10,13801.35546875
2024-06-11,13904.9775390625
2024-06-12,14112.2197265625
2024-06-13,14107.28515625
2024-06-14,14102.3515625
2024-06-17,14038.205078125
2024-06-18,14131.95703125
2024-06-19,14097.416015625
2024-06-20,14131.95703125
2024-06-21,14043.138671875
2024-06-24,13895.1083984375
2024-06-25,13949.38671875
2024-06-26,14013.533203125
2024-06-27,13939.517578125
2024-06-28,14048.0732421875
2024-07-01,14077.6806640625
2024-07-02,13747.078125
2024-07-03,13776.6845703125
2024-07-04,13776.6845703125
2024-07-05,14062.876953125
2024-07-08,14191.1689453125
2024-07-09,14166.498046875
2024-07-10,14289.8564453125
2024-07-11,14378.673828125
2024-07-12,14457.623046875
2024-07-15,14398.412109375
2024-07-16,14388.54296875
2024-07-17,14161.5625
2024-07-18,13993.7958984375
2024-07-19,13934.5830078125
2024-07-22,13663.1953125
2024-07-23,13747.078125
2024-07-24,13653.326171875
2024-07-25,13293.119140625
2024-07-26,13233.9072265625
2024-07-29,13293.119140625
2024-07-30,13080.9423828125
2024-07-31,13145.0888671875
2024-08-01,13243.7763671875
2024-08-02,12681.2607421875
2024-08-05,11339.119140625
2024-08-06,11802.947265625
2024-08-07,11990.4521484375
2024-08-08,11906.5693359375
2024-08-09,12079.2705078125
2024-08-12,12217.431640625
2024-08-13,12232.234375
2024-08-14,12365.4619140625
2024-08-16,12597.376953125
2024-08-19,12552.9677734375
2024-08-20,12745.4072265625
2024-08-21,12883.5693359375
2024-08-22,12878.6337890625
2024-08-23,12824.3564453125
2024-08-26,12814.4873046875
2024-08-28,12691.12890625
2024-08-29,12661.5224609375
2024-08-30,12700.9970703125
2024-09-02,12735.5380859375
2024-09-03,12587.5087890625
2024-09-04,12247.0380859375
2024-09-05,12212.498046875
2024-09-06,11946.0439453125
2024-09-09,12000.3212890625
2024-09-10,11965.7802734375
2024-09-11,11975.6494140625
2024-09-12,12335.857421875
2024-09-13,12385.2001953125
2024-09-19,12439.4775390625
2024-09-20,12439.4775390625
2024-09-23,12538.1640625
2024-09-24,12543.099609375
2024-09-25,12419.7392578125
2024-09-26,12735.5380859375
2024-09-27,12587.5087890625
2024-09-30,12449.3466796875
2024-10-02,12301.31640625
2024-10-04,12414.806640625
2024-10-07,12587.5087890625
2024-10-08,12439.4775390625
2024-10-10,12355.59375
2024-10-11,12355.59375
2024-10-14,12424.6748046875
2024-10-15,12439.4775390625
2024-10-16,12380.265625
2024-10-17,12375.3310546875
2024-10-18,12296.3818359375
2024-10-21,12449.3466796875
2024-10-22,12158.220703125
2024-10-23,12242.1044921875
2024-10-24,12059.533203125
2024-10-25,11881.896484375
2024-10-28,12084.205078125
2024-10-29,12074.3359375
2024-10-31,11980.5830078125
2024-11-01,11852.2919921875
2024-11-04,11921.3720703125
2024-11-06,11857.224609375
2024-11-07,12099.0078125
2024-11-08,12020.05859375
2024-11-11,11901.6337890625
2024-11-12,11753.6044921875
2024-11-13,11536.4931640625
2024-11-14,11541.4267578125
2024-11-15,11812.81640625
2024-11-18,12123.6787109375
2024-11-19,12365.4619140625
2024-11-20,12340.7900390625
2024-11-21,12217.431640625
2024-11-22,12419.7392578125
2024-11-25,12528.294921875
2024-11-26,12572.705078125
2024-11-27,12789.81640625
2024-11-28,12745.4072265625
2024-11-29,12651.6552734375
2024-12-02,12395.068359375
2024-12-03,12439.4775390625
2024-12-04,12103.943359375
2024-12-05,12000.3212890625
2024-12-06,11876.962890625
2024-12-09,11353.921875
2024-12-10,11664.787109375
2024-12-11,11867.0947265625
2024-12-12,11911.5029296875
2024-12-13,12015.1240234375
2024-12-16,12069.4013671875
2024-12-17,12034.861328125
2024-12-18,12108.876953125
2024-12-19,11798.013671875
2024-12-20,11580.90234375
2024-12-23,11704.2607421875
2024-12-24,11886.8310546875
2024-12-26,11872.02734375
2024-12-27,11763.47265625
2024-12-30,12020.05859375
2025-01-02,13322.7255859375
2025-01-03,13125.3515625
2025-01-06,13332.59375
2025-01-07,13273.3818359375
2025-01-08,13130.28515625
2025-01-09,13480.6240234375
2025-01-10,13362.19921875
2025-01-13,13401.6748046875
2025-01-14,13520.0986328125
2025-01-15,13401.6748046875
2025-01-16,13677.9970703125
2025-01-17,13766.8154296875
2025-01-20,13821.09375
2025-01-21,14038.205078125
2025-01-22,14048.0732421875
2025-01-23,13771.75
2025-01-24,13855.6337890625
2025-01-31,14541.5078125
2025-02-03,14354.0029296875
2025-02-04,14733.947265625
2025-02-05,15326.0673828125
2025-02-06,15316.19921875
2025-02-07,15385.2802734375
2025-02-10,15286.5927734375
2025-02-11,15242.1845703125
2025-02-12,14867.1748046875
2025-02-13,14911.5830078125
2025-02-14,15010.2705078125
2025-02-17,15148.431640625
2025-02-18,15617.1943359375
2025-02-19,15553.0478515625
2025-02-20,15104.0224609375
2025-02-21,15227.380859375
2025-02-24,14985.5986328125
2025-02-25,14891.8466796875
2025-02-26,14896.779296875
2025-02-27,14783.291015625
2025-02-28,14043.138671875
2025-03-04,14107.28515625
2025-03-05,14339.19921875
2025-03-06,14156.6298828125
2025-03-07,14048.0732421875
2025-03-10,14131.95703125
2025-03-11,14240.51171875
2025-03-12,14437.88671875
2025-03-13,14314.52734375
2025-03-14,14556.310546875
2025-03-17,14729.0126953125
2025-03-18,14729.0126953125
2025-03-19,14511.9013671875
2025-03-20,14329.3310546875
2025-03-21,14127.0224609375
2025-03-24,14013.533203125
2025-03-25,13796.4228515625
2025-03-26,13964.189453125
2025-03-27,13707.603515625
2025-03-28,13446.083984375
2025-03-31,13135.220703125
2025-04-01,13283.25
2025-04-02,13164.826171875
2025-04-03,13411.54296875
2025-04-04,13194.4326171875
2025-04-07,12429.609375
2025-04-08,12232.234375
2025-04-09,12049.6650390625
2025-04-10,12720.7353515625
2025-04-11,13095.7451171875
2025-04-14,13391.8056640625
2025-04-15,13554.6396484375
2025-04-16,13273.3818359375
2025-04-17,13505.294921875
2025-04-18,13505.294921875
2025-04-21,13460.88671875
2025-04-22,13564.5078125
2025-04-23,13682.9326171875
2025-04-24,13618.7861328125
2025-04-25,13687.8662109375
2025-04-28,13608.91796875
2025-04-29,13740.6357421875
2025-04-30,13566.0087890625
2025-05-02,13620.8916015625
2025-05-07,13805.4970703125
2025-05-08,13820.46484375
2025-05-09,13660.806640625
2025-05-12,13860.3798828125
2025-05-13,14069.9326171875
2025-05-14,14698.587890625
2025-05-15,14628.73828125
2025-05-16,14598.8017578125
2025-05-19,14194.666015625
2025-05-20,14209.6328125
2025-05-21,14184.6865234375
2025-05-22,13895.3056640625
2025-05-23,13885.326171875
2025-05-26,14194.666015625
2025-05-27,14194.666015625
2025-05-28,14244.55859375
2025-05-29,14419.185546875
2025-05-30,14324.388671875
2025-06-02,14489.0361328125
2025-06-04,14938.0771484375
2025-06-05,15102.7255859375
2025-06-09,15277.3525390625
2025-06-10,15257.39453125
2025-06-11,15427.0322265625
2025-06-12,15437.0107421875
2025-06-13,15202.51171875
2025-06-16,15531.80859375
2025-06-17,15362.169921875
2025-06-18,15796.2421875
2025-06-19,16105.58203125
2025-06-20,16659.3984375
2025-06-23,17542.51171875
2025-06-24,17976.583984375
2025-06-25,17642.296875
2025-06-26,17053.556640625
2025-06-27,17183.279296875
2025-06-30,17143.36328125
2025-07-01,17078.501953125
2025-07-02,16839.015625
2025-07-03,16824.046875
2025-07-04,16479.78125
2025-07-07,16549.6328125
2025-07-08,16599.52734375
2025-07-09,16729.25
2025-07-10,16873.939453125
2025-07-11,16839.015625
2025-07-14,16714.28125
2025-07-15,17133.384765625
2025-07-16,17128.396484375
2025-07-17,16973.7265625
2025-07-18,16938.80078125
2025-07-21,17013.640625
2025-07-22,16709.291015625
2025-07-23,16594.537109375
2025-07-24,16340.080078125
2025-07-25,16449.845703125
2025-07-28,16449.845703125
2025-07-29,16429.888671875
2025-07-30,16604.515625
2025-07-31,16644.4296875
2025-08-01,16000.8056640625
2025-08-04,16090.6142578125
2025-08-05,16285.197265625
2025-08-06,16360.0380859375
2025-08-07,16614.494140625
2025-08-08,16604.515625
2025-08-11,16609.50390625
2025-08-12,16514.708984375
2025-08-13,16469.802734375
2025-08-14,16534.6640625
2025-08-18,16270.2294921875
2025-08-19,16080.634765625
2025-08-20,15871.0830078125
2025-08-21,15806.2216796875
2025-08-22,16050.69921875
2025-08-25,16858.97265625
2025-08-26,16933.810546875
2025-08-27,16699.3125
2025-08-28,16734.23828125
2025-08-29,16604.515625
2025-09-01,16375.0068359375
2025-09-02,16888.908203125
2025-09-03,16839.015625
2025-09-04,16868.951171875
2025-09-05,16983.705078125
2025-09-08,17078.501953125
2025-09-09,17243.150390625
2025-09-10,17442.72265625
2025-09-11,17632.318359375
2025-09-12,17921.701171875
2025-09-15,18141.232421875
2025-09-16,17986.560546875
2025-09-17,17801.95703125
2025-09-18,18380.720703125
2025-09-19,18859.6953125
2025-09-22,19184.001953125
2025-09-23,19238.884765625
2025-09-24,18954.494140625
2025-09-25,19139.099609375
2025-09-26,18744.94140625
2025-09-29,19129.119140625
2025-09-30,19099.18359375
2025-10-01,19099.18359375
2025-10-02,19258.841796875
2025-10-10,20615.94140625
2025-10-13,20690.783203125
2025-10-14,20391.423828125
2025-10-15,21119.8671875
2025-10-16,21204.685546875
2025-10-17,20905.326171875
2025-10-20,21668.693359375
2025-10-21,21419.2265625
2025-10-22,21504.046875
2025-10-23,21109.88671875
2025-10-24,21444.173828125
2025-10-27,21793.427734375
2025-10-28,21753.51171875
2025-10-29,22282.3828125
2025-10-30,22117.734375
2025-10-31,23320.1640625
2025-11-03,25126.3046875
2025-11-04,24851.890625
2025-11-05,23719.310546875
2025-11-06,23020.8046875
2025-11-07,22442.041015625
2025-11-10,22901.05859375
2025-11-11,22965.921875
2025-11-12,23050.740234375
2025-11-13,23240.3359375
2025-11-14,22152.66015625
2025-11-17,22162.63671875
2025-11-18,21314.451171875
2025-11-19,21613.810546875
2025-11-20,21888.22265625
2025-11-21,21259.568359375
2025-11-24,21379.310546875
2025-11-25,21249.58984375
2025-11-26,21723.57421875
2025-11-27,22002.978515625
2025-11-28,22940.974609375
2025-12-01,22796.283203125
2025-12-02,23589.58984375
2025-12-03,23754.236328125
2025-12-04,24821.955078125
2025-12-05,24717.177734375
2025-12-08,25166.21875
2025-12-09,25310.91015625
2025-12-10,25410.6953125
2025-12-11,25470.568359375
2025-12-12,26014.40625
2025-12-15,26228.947265625
2025-12-16,25236.0703125
2025-12-17,24846.900390625
2025-12-18,24407.837890625
2025-12-19,25350.82421875
2025-12-22,25894.662109375
2025-12-23,25844.767578125
2025-12-24,25535.4296875
2025-12-26,25430.654296875
2025-12-29,26273.853515625
2025-12-30,26218.970703125
2026-01-02,26792.7421875
2026-01-05,26777.775390625
2026-01-06,26523.318359375
2026-01-07,27037.21875
2026-01-08,26578.201171875
2026-01-09,27122.0390625
2026-01-12,27141.998046875
2026-01-13,28558.96875
2026-01-14,29008.009765625
2026-01-15,30025.833984375
2026-01-16,30375.0859375
2026-01-19,33533.33984375
2026-01-20,33283.87109375
2026-01-21,34037.26171875
2026-01-22,33648.09375
2026-01-23,33338.75390625
2026-01-26,34765.70703125
2026-01-27,34521.2265625
2026-01-28,35723.65625
2026-01-29,36801.35546875
2026-01-30,36222.59375
2026-02-02,34206.8984375
2026-02-03,35733.63671875
2026-02-04,35773.55078125
2026-02-05,34341.609375
2026-02-06,32879.734375
2026-02-09,34112.1015625
2026-02-10,34331.6328125
2026-02-11,34586.08984375
2026-02-12,34630.9921875
2026-02-13,34137.046875
2026-02-19,34975.2578125
2026-02-20,34795.640625
2026-02-23,34735.76953125
2026-02-24,35484.16796875
2026-02-25,37095.72265625
2026-02-26,38567.58203125
2026-02-27,38402.9296875
2026-03-03,35299.5625
2026-03-04,29676.580078125
2026-03-05,33428.5625
2026-03-06,34007.328125
2026-03-09,31657.34765625
2026-03-10,33159.13671875
2026-03-11,33298.83984375
2026-03-12,32994.4921875
2026-03-13,32570.39453125
2026-03-16,32355.853515625
2026-03-17,32879.734375
2026-03-18,33902.55078125
2026-03-19,33079.30859375
2026-03-20,32630.267578125
2026-03-23,30160.544921875
2026-03-24,31143.4453125
2026-03-25,31562.548828125
2026-03-26,30604.59765625
2026-03-27,30764.255859375
2026-03-30,29511.931640625
2026-03-31,28459.181640625
2026-04-01,30948.861328125
2026-04-02,29626.6875
2026-04-03,29756.41015625
2026-04-06,29397.17578125
2026-04-07,29297.390625
2026-04-08,31667.326171875
2026-04-09,30933.89453125
2026-04-10,30809.16015625
2026-04-13,30285.279296875
2026-04-14,31532.615234375
2026-04-15,32400.759765625
2026-04-16,33224.0
2026-04-17,33318.796875
2026-04-20,33313.80859375
2026-04-21,33727.921875
2026-04-22,33628.13671875
2026-04-23,33428.5625
2026-04-24,33907.53515625
2026-04-27,35633.8515625
2026-04-28,35853.3828125
2026-04-29,35793.41015625
2026-04-30,35448.5703125
2026-05-04,35823.39453125
2026-05-06,36528.0703125
2026-05-07,36323.1640625
2026-05-08,38682.0703125
2026-05-11,40791.09375
2026-05-12,40411.26953125
2026-05-13,42120.4765625
2026-05-14,42180.44921875
2026-05-15,41180.91015625
2026-05-18,39611.640625
2026-05-19,36777.953125
2026-05-20,35868.375
2026-05-21,40736.1171875
2026-05-22,40631.16796875
2026-05-26,41560.734375
2026-05-27,41780.6328125
2026-05-28,41030.98046875
2026-05-29,44654.30078125
2026-06-01,50271.69921875
2026-06-02,48772.39453125
2026-06-04,45823.7578125
2026-06-05,43234.9609375
2026-06-08,39506.6875
2026-06-09,39771.56640625
2026-06-10,37752.5
2026-06-11,38472.16796875
2026-06-12,39946.484375
2026-06-15,41530.75
2026-06-16,40936.0234375
2026-06-17,40806.0859375
2026-06-18,40116.40625
2026-06-19,38916.9609375
2026-06-22,38287.25390625
2026-06-23,34264.1171875
2026-06-24,35148.70703125
2026-06-25,35138.7109375
2026-06-26,33044.68359375
2026-06-29,34593.96484375
2026-06-30,34673.9296875
2026-07-01,34094.1953125
2026-07-02,32355.001953125
2026-07-03,32829.78125
2026-07-06,32569.90234375
2026-07-07,31415.4375
2026-07-08,29886.146484375
2026-07-09,29786.193359375
2026-07-10,31035.615234375
2026-07-13,29186.470703125
2026-07-14,28551.765625
2026-07-15,30235.984375
2026-07-16,28641.724609375
2026-07-20,27147.416015625
2026-07-21,28211.923828125
2026-07-22,29986.1015625
2026-07-23,31180.546875
2026-07-24,28501.7890625
2026-07-27,29181.474609375
2026-07-28,26487.72265625
2026-07-29,25888.0
2026-07-30,25000.0
2026-07-31,28500.0
2026-08-03,28950.0
2026-08-04,30025.0
2026-08-05,31280.0
2026-08-06,30625.0
2026-08-07,30140.0
2026-08-10,31075.0
2026-08-11,31000.0
2026-08-12,31820.0
2026-08-13,32460.0
2026-08-14,33950.0
2026-08-18,32495.0
2026-08-19,31365.0
2026-08-20,31900.0
2026-08-21,31270.0
2026-08-24,30815.0
2026-08-25,31170.0
2026-08-26,30750.0
2026-08-27,30925.0
2026-08-28,30600.0
2026-08-31,30980.0
2026-09-01,30500.0
2026-09-02,29250.0
2026-09-03,29175.0
2026-09-04,30710.0
2026-09-07,31380.0
2026-09-08,30640.0
2026-09-09,31220.0
2026-09-10,31465.0
2026-09-11,31120.0
2026-09-14,30235.0
2026-09-15,30755.0
2026-09-16,30145.0
2026-09-17,30270.0
2026-09-18,30600.0
