date,value
2000-01-04,-228873.84375
2000-01-05,-205319.828125
2000-01-06,-194653.90625
2000-01-07,-192876.1875
2000-01-10,-191098.515625
2000-01-11,-198209.1875
2000-01-12,-200875.671875
2000-01-13,-208875.140625
2000-01-14,-202653.296875
2000-01-17,-221318.734375
2000-01-18,-222207.578125
2000-01-19,-217763.375
2000-01-20,-239984.078125
2000-01-21,-236428.921875
2000-01-24,-239984.078125
2000-01-25,-230207.078125
2000-01-26,-235095.578125
2000-01-27,-231095.875
2000-01-28,-246205.96875
2000-01-31,-234651.15625
2000-02-01,-217763.375
2000-02-02,-212430.46875
2000-02-03,-204875.359375
2000-02-04,-204875.359375
2000-02-07,-204430.90625
2000-02-08,-211986.046875
2000-02-09,-207986.28125
2000-02-10,-207097.5
2000-02-11,-198209.1875
2000-02-14,-185765.5625
2000-02-15,-189765.28125
2000-02-16,-185765.5625
2000-02-17,-180432.59375
2000-02-18,-180432.59375
2000-02-21,-165322.453125
2000-02-22,-155545.3125
2000-02-23,-165322.453125
2000-02-24,-156878.515625
2000-02-25,-156434.171875
2000-02-28,-138657.515625
2000-02-29,-159100.609375
2000-03-01,-159100.609375
2000-03-02,-182654.609375
2000-03-03,-209763.890625
2000-03-06,-197320.3125
2000-03-07,-199542.453125
2000-03-08,-204875.359375
2000-03-09,-199986.8125
2000-03-10,-187987.609375
2000-03-13,-167988.921875
2000-03-14,-175099.625
2000-03-15,-182654.609375
2000-03-16,-178654.828125
2000-03-17,-184876.71875
2000-03-20,-197320.3125
2000-03-21,-201764.46875
2000-03-22,-213319.25
2000-03-23,-204430.90625
2000-03-24,-224429.671875
2000-03-27,-222207.578125
2000-03-28,-230207.078125
2000-03-29,-237317.703125
2000-03-30,-226651.734375
2000-03-31,-218652.1875
2000-04-03,-225762.84375
2000-04-04,-220429.9375
2000-04-05,-220429.9375
2000-04-06,-207986.28125
2000-04-07,-217318.984375
2000-04-10,-219096.640625
2000-04-11,-213319.25
